v2_gene,v3_gene,v2_length,v3_length,exact_match,identity
B9J08_003891,B9J08_01749,124.0,124.0,True,100.0
B9J08_001458,B9J08_03708,765.0,765.0,True,100.0
B9J08_004100,B9J08_01957,760.0,760.0,True,100.0
B9J08_004109,B9J08_04863,2946.0,2946.0,True,100.0
B9J08_004544,B9J08_04503,,,False,
B9J08_000846,B9J08_02804,93.0,93.0,True,100.0
B9J08_004451,B9J08_05205,717.0,717.0,True,100.0
B9J08_004112,B9J08_04866,1795.0,1795.0,True,100.0
B9J08_002459,B9J08_05469,,,False,
B9J08_000595,B9J08_02553,302.0,302.0,True,100.0
B9J08_001899,B9J08_00369,1604.0,1604.0,True,100.0
B9J08_000724,B9J08_02682,147.0,147.0,True,100.0
B9J08_001362,B9J08_03612,530.0,530.0,True,100.0
B9J08_002381,B9J08_05391,205.0,205.0,True,100.0
B9J08_004987,B9J08_03870,565.0,565.0,True,100.0
B9J08_001621,B9J08_00091,464.0,464.0,True,100.0
B9J08_004446,B9J08_05200,664.0,664.0,True,100.0
B9J08_004176,B9J08_04930,525.0,525.0,True,100.0
B9J08_001861,B9J08_00331,652.0,652.0,True,100.0
B9J08_000211,B9J08_02170,194.0,194.0,True,100.0
B9J08_002830,B9J08_00689,296.0,296.0,True,100.0
B9J08_004560,B9J08_04519,,,False,
B9J08_002847,B9J08_00706,,,False,
B9J08_001484,B9J08_03734,,,False,
B9J08_002919,B9J08_00777,,,False,
B9J08_002940,B9J08_00798,561.0,561.0,True,100.0
B9J08_000178,B9J08_02137,,,False,
B9J08_001581,B9J08_00052,1112.0,1112.0,True,100.0
B9J08_003628,B9J08_01486,711.0,711.0,True,100.0
B9J08_000987,B9J08_02945,341.0,341.0,True,100.0
B9J08_004559,B9J08_04518,177.0,177.0,True,100.0
B9J08_002012,B9J08_03085,315.0,315.0,True,100.0
B9J08_004628,B9J08_04587,381.0,381.0,True,100.0
B9J08_001552,B9J08_00023,458.0,458.0,True,100.0
B9J08_004365,B9J08_05119,,,False,
B9J08_002668,B9J08_00528,519.0,519.0,True,100.0
B9J08_002261,B9J08_05271,169.0,169.0,True,100.0
B9J08_005380,B9J08_04263,274.0,274.0,True,100.0
B9J08_002166,B9J08_03239,563.0,563.0,True,100.0
B9J08_000388,B9J08_02346,596.0,596.0,True,100.0
B9J08_004148,B9J08_04902,336.0,336.0,True,100.0
B9J08_002239,B9J08_05249,494.0,494.0,True,100.0
B9J08_004477,B9J08_04436,429.0,429.0,True,100.0
B9J08_004905,B9J08_03788,277.0,277.0,True,100.0
B9J08_004324,B9J08_05078,552.0,552.0,True,100.0
B9J08_002825,B9J08_00684,68.0,68.0,True,100.0
B9J08_004167,B9J08_04921,884.0,884.0,True,100.0
B9J08_004840,B9J08_04800,,,False,
B9J08_000592,B9J08_02550,442.0,442.0,True,100.0
B9J08_003109,B9J08_00967,453.0,453.0,True,100.0
B9J08_005394,B9J08_04277,618.0,618.0,True,100.0
B9J08_000581,B9J08_02539,702.0,702.0,True,100.0
B9J08_000849,B9J08_02807,231.0,231.0,True,100.0
B9J08_002624,B9J08_00484,67.0,67.0,True,100.0
B9J08_003514,B9J08_01373,,,False,
B9J08_001956,B9J08_03029,289.0,289.0,True,100.0
B9J08_000594,B9J08_02552,629.0,629.0,True,100.0
B9J08_000398,B9J08_02356,559.0,559.0,True,100.0
B9J08_001551,B9J08_00022,149.0,149.0,True,100.0
B9J08_001613,B9J08_00083,,,False,
B9J08_000007,B9J08_01966,448.0,448.0,True,100.0
B9J08_001538,B9J08_00009,295.0,295.0,True,100.0
B9J08_001323,B9J08_03573,215.0,215.0,True,100.0
B9J08_002707,B9J08_00566,1656.0,1656.0,True,100.0
B9J08_003466,B9J08_01325,,,False,
B9J08_004892,B9J08_04852,1720.0,1720.0,True,100.0
B9J08_004831,B9J08_04791,323.0,323.0,True,100.0
B9J08_003167,B9J08_01025,592.0,592.0,True,100.0
B9J08_002423,B9J08_05433,506.0,506.0,True,100.0
B9J08_001225,B9J08_03475,843.0,843.0,True,100.0
B9J08_005163,B9J08_04046,340.0,340.0,True,100.0
B9J08_004445,B9J08_05199,565.0,565.0,True,100.0
B9J08_003223,B9J08_01084,340.0,340.0,True,100.0
B9J08_004878,B9J08_04838,506.0,506.0,True,100.0
B9J08_002240,B9J08_05250,830.0,830.0,True,100.0
B9J08_004545,B9J08_04504,,,False,
B9J08_001588,B9J08_00058,522.0,522.0,True,100.0
B9J08_002734,B9J08_00593,527.0,527.0,True,100.0
B9J08_000792,B9J08_02750,308.0,308.0,True,100.0
B9J08_000017,B9J08_01976,631.0,631.0,True,100.0
B9J08_003007,B9J08_00865,556.0,556.0,True,100.0
B9J08_003454,B9J08_01313,480.0,480.0,True,100.0
B9J08_001255,B9J08_03505,,,False,
B9J08_002735,B9J08_00594,797.0,797.0,True,100.0
B9J08_003374,B9J08_01235,,,False,
B9J08_000030,B9J08_01989,277.0,277.0,True,100.0
B9J08_001181,B9J08_03431,419.0,419.0,True,100.0
B9J08_002560,B9J08_05570,144.0,144.0,True,100.0
B9J08_002773,B9J08_00632,338.0,338.0,True,100.0
B9J08_003462,B9J08_01321,,,False,
B9J08_000829,B9J08_02787,873.0,873.0,True,100.0
B9J08_005080,B9J08_03963,167.0,167.0,True,100.0
B9J08_002255,B9J08_05265,134.0,134.0,True,100.0
B9J08_004104,B9J08_04858,117.0,117.0,True,100.0
B9J08_000501,B9J08_02459,885.0,885.0,True,100.0
B9J08_004637,B9J08_04596,474.0,474.0,True,100.0
B9J08_002652,B9J08_00512,,,False,
B9J08_002165,B9J08_03238,328.0,328.0,True,100.0
B9J08_001831,B9J08_00301,352.0,352.0,True,100.0
B9J08_000474,B9J08_02432,1919.0,1919.0,True,100.0
B9J08_003392,B9J08_01253,615.0,615.0,True,100.0
B9J08_000847,B9J08_02805,509.0,509.0,True,100.0
B9J08_002201,B9J08_03274,240.0,240.0,True,100.0
B9J08_000925,B9J08_02883,778.0,778.0,True,100.0
B9J08_001235,B9J08_03485,439.0,439.0,True,100.0
B9J08_005147,B9J08_04030,147.0,147.0,True,100.0
B9J08_002027,B9J08_03100,1232.0,1232.0,True,100.0
B9J08_004877,B9J08_04837,465.0,465.0,True,100.0
B9J08_004458,B9J08_05212,990.0,990.0,True,100.0
B9J08_005081,B9J08_03964,126.0,126.0,True,100.0
B9J08_002256,B9J08_05266,279.0,279.0,True,100.0
B9J08_002628,B9J08_00488,1081.0,1081.0,True,100.0
B9J08_004351,B9J08_05105,402.0,402.0,True,100.0
B9J08_003258,B9J08_01119,493.0,493.0,True,100.0
B9J08_003969,B9J08_01826,87.0,87.0,True,100.0
B9J08_004027,B9J08_01884,437.0,437.0,True,100.0
B9J08_003912,B9J08_01770,528.0,528.0,True,100.0
B9J08_003750,B9J08_01608,318.0,318.0,True,100.0
B9J08_000928,B9J08_02886,286.0,286.0,True,100.0
B9J08_004366,B9J08_05120,113.0,113.0,True,100.0
B9J08_001291,B9J08_03541,500.0,500.0,True,100.0
B9J08_000010,B9J08_01969,620.0,620.0,True,100.0
B9J08_004940,B9J08_03823,329.0,329.0,True,100.0
B9J08_000995,B9J08_02953,814.0,814.0,True,100.0
B9J08_000591,B9J08_02549,876.0,876.0,True,100.0
B9J08_003694,B9J08_01552,604.0,604.0,True,100.0
B9J08_002334,B9J08_05344,460.0,460.0,True,100.0
B9J08_003909,B9J08_01767,392.0,392.0,True,100.0
B9J08_003019,B9J08_00877,612.0,612.0,True,100.0
B9J08_004367,B9J08_05121,279.0,279.0,True,100.0
B9J08_005002,B9J08_03885,631.0,631.0,True,100.0
B9J08_001352,B9J08_03602,402.0,402.0,True,100.0
B9J08_005199,B9J08_04082,391.0,391.0,True,100.0
B9J08_004934,B9J08_03817,227.0,227.0,True,100.0
B9J08_004479,B9J08_04438,,,False,
B9J08_001968,B9J08_03041,499.0,499.0,True,100.0
B9J08_000873,B9J08_02831,,,False,
B9J08_000292,B9J08_02251,213.0,213.0,True,100.0
B9J08_003280,B9J08_01141,205.0,205.0,True,100.0
B9J08_003397,B9J08_01258,1082.0,1082.0,True,100.0
B9J08_001889,B9J08_00359,282.0,282.0,True,100.0
B9J08_003448,B9J08_01307,305.0,305.0,True,100.0
B9J08_002576,B9J08_05586,468.0,468.0,True,100.0
B9J08_002351,B9J08_05361,,,False,
B9J08_002669,B9J08_00529,,,False,
B9J08_000905,B9J08_02863,214.0,214.0,True,100.0
B9J08_003689,B9J08_01547,307.0,307.0,True,100.0
B9J08_001371,B9J08_03621,791.0,791.0,True,100.0
B9J08_003709,B9J08_01567,547.0,547.0,True,100.0
B9J08_000615,B9J08_02573,270.0,270.0,True,100.0
B9J08_002886,B9J08_00745,543.0,543.0,True,100.0
B9J08_003186,B9J08_01044,,,False,
B9J08_002330,B9J08_05340,305.0,305.0,True,100.0
B9J08_002279,B9J08_05289,440.0,440.0,True,100.0
B9J08_002149,B9J08_03222,556.0,556.0,True,100.0
B9J08_001834,B9J08_00304,681.0,681.0,True,100.0
B9J08_003564,B9J08_01422,912.0,912.0,True,100.0
B9J08_000397,B9J08_02355,228.0,228.0,True,100.0
B9J08_004971,B9J08_03854,210.0,210.0,True,100.0
B9J08_003337,B9J08_01198,109.0,109.0,True,100.0
B9J08_000690,B9J08_02648,598.0,598.0,True,100.0
B9J08_002577,B9J08_05587,439.0,439.0,True,100.0
B9J08_002763,B9J08_00622,697.0,697.0,True,100.0
B9J08_000348,B9J08_02306,547.0,547.0,True,100.0
B9J08_001132,B9J08_03382,673.0,673.0,True,100.0
B9J08_003955,B9J08_01812,444.0,444.0,True,100.0
B9J08_004551,B9J08_04510,437.0,437.0,True,100.0
B9J08_003227,B9J08_01088,860.0,860.0,True,100.0
B9J08_000043,B9J08_02002,845.0,845.0,True,100.0
B9J08_001721,B9J08_00191,162.0,162.0,True,100.0
B9J08_000032,B9J08_01991,810.0,810.0,True,100.0
B9J08_004135,B9J08_04889,378.0,378.0,True,100.0
B9J08_005107,B9J08_03990,549.0,549.0,True,100.0
B9J08_002842,B9J08_00701,759.0,759.0,True,100.0
B9J08_004316,B9J08_05070,248.0,248.0,True,100.0
B9J08_001041,B9J08_02999,293.0,293.0,True,100.0
B9J08_004524,B9J08_04483,198.0,198.0,True,100.0
B9J08_000814,B9J08_02772,610.0,610.0,True,100.0
B9J08_005255,B9J08_04138,510.0,510.0,True,100.0
B9J08_000029,B9J08_01988,281.0,281.0,True,100.0
B9J08_004113,B9J08_04867,577.0,577.0,True,100.0
B9J08_001116,B9J08_03366,350.0,350.0,True,100.0
